Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window,
465.69,81.06,1014,1013,0,0,222.7190518,1107.833015,USDT_ETH,exp_no_volume,0,32,0,-384.63
465.69,78.19,927,926,0,0,229.5870103,1107.833015,USDT_ETH,exp_no_volume,0,39,0,-387.5
465.69,75.66,947,946,0,0,217.3456091,1107.833015,USDT_ETH,exp_no_volume,0,35,0,-390.03
465.69,75.61,808,807,0,0,233.8975712,1107.833015,USDT_ETH,exp_no_volume,0,50,0,-390.08
465.69,75.38,1165,1164,0,0,218.9556691,1107.833015,USDT_ETH,exp_no_volume,0,25,0,-390.31
465.69,75.21,1116,1115,0,0,213.9096781,1107.833015,USDT_ETH,exp_no_volume,0,27,0,-390.48
465.69,71.64,997,996,0,0,211.1120412,1107.833015,USDT_ETH,exp_no_volume,0,33,0,-394.05
465.69,71.55,868,867,0,0,217.8874278,1107.833015,USDT_ETH,exp_no_volume,0,43,0,-394.14
465.69,70.26,896,895,0,0,207.1924236,1107.833015,USDT_ETH,exp_no_volume,0,41,0,-395.43
465.69,70.12,971,970,0,0,213.9990884,1107.833015,USDT_ETH,exp_no_volume,0,34,0,-395.57
465.69,69.29,885,884,0,0,205.2194775,1107.833015,USDT_ETH,exp_no_volume,0,42,0,-396.4
465.69,69.1,1145,1144,0,0,218.5527302,1107.833015,USDT_ETH,exp_no_volume,0,26,0,-396.59
465.69,69.06,915,914,0,0,213.5923921,1107.833015,USDT_ETH,exp_no_volume,0,40,0,-396.63
465.69,68.45,852,851,0,0,220.5313062,1107.833015,USDT_ETH,exp_no_volume,0,44,0,-397.24
465.69,65.13,821,820,0,0,216.8729441,1107.833015,USDT_ETH,exp_no_volume,0,48,0,-400.56
465.69,64.16,812,811,0,0,217.529534,1107.833015,USDT_ETH,exp_no_volume,0,49,0,-401.53
465.69,63.02,828,827,0,0,219.9842771,1107.833015,USDT_ETH,exp_no_volume,0,47,0,-402.67
465.69,62.13,825,824,0,0,222.2540693,1107.833015,USDT_ETH,exp_no_volume,0,46,0,-403.56
